CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
CUST_000084,Female,21,24.0,2
CUST_000116,Male,59,33.0,2
CUST_000028,Female,21,35.0,9
CUST_000155,Female,20,37.0,11
CUST_000256,Female,60,89.0,91
CUST_000359,Male,33,85.0,83
CUST_000136,Male,67,40.0,18
CUST_000058,Female,49,44.0,5
CUST_000032,Female,59,48.0,32
CUST_000157,Male,63,39.0,28
CUST_000260,Male,21,95.0,73
CUST_000175,Female,67,35.0,1
CUST_000401,Female,44,88.0,97
CUST_000228,Female,44,44.0,24
CUST_000253,Male,68,88.0,78
CUST_000088,Male,65,42.0,31
CUST_000227,Male,38,42.0,4
CUST_000404,Male,53,81.0,71
CUST_000213,Female,55,40.0,4
CUST_000329,Male,64,84.0,69
CUST_000412,Female,24,88.0,87
CUST_000472,Male,31,90.0,98
CUST_000027,Male,56,28.0,24
CUST_000383,Male,30,87.0,70
CUST_000190,Female,43,43.0,14
CUST_000124,Female,27,44.0,15
CUST_000328,Male,26,92.0,94
CUST_000285,Male,63,94.0,99
CUST_000458,Male,38,88.0,80
CUST_000342,Female,67,97.0,90
CUST_000239,Female,45,38.0,26
CUST_000304,Female,64,92.0,69
CUST_000426,Male,36,88.0,73
CUST_000483,Female,28,82.0,69
CUST_000349,Female,60,89.0,71
CUST_000293,Female,29,89.0,71
CUST_000400,Female,62,87.0,94
CUST_000385,Male,51,88.0,70
CUST_000126,Male,37,46.0,33
CUST_000192,Female,42,48.0,11
CUST_000393,Female,53,96.0,83
CUST_000444,Male,48,88.0,95
CUST_000015,Male,44,41.0,23
CUST_000288,Female,47,92.0,83
CUST_000340,Male,60,98.0,92
CUST_000373,Female,55,88.0,79
CUST_000388,Male,55,99.0,96
CUST_000276,Male,51,89.0,98
CUST_000096,Male,43,33.0,32
CUST_000245,Male,31,50.0,14
CUST_000436,Female,39,84.0,97
CUST_000423,Female,47,93.0,96
CUST_000351,Female,33,92.0,77
CUST_000137,Male,42,32.0,16
CUST_000259,Male,22,85.0,77
CUST_000187,Female,48,39.0,13
CUST_000150,Male,52,47.0,7
CUST_000189,Female,52,36.0,18
CUST_000271,Female,35,85.0,75
CUST_000120,Male,32,37.0,3
CUST_000495,Male,51,87.0,84
CUST_000343,Female,34,93.0,82
CUST_000463,Female,60,88.0,97
CUST_000433,Female,61,89.0,73
CUST_000122,Female,48,42.0,27
CUST_000344,Male,66,86.0,79
CUST_000326,Male,34,87.0,100
CUST_000023,Female,66,31.0,24
CUST_000063,Male,63,35.0,9
CUST_000196,Male,26,28.0,16
CUST_000410,Female,64,89.0,88
CUST_000431,Male,69,90.0,88
CUST_000267,Male,37,89.0,70
CUST_000248,Male,48,32.0,18
CUST_000011,Female,48,35.0,33
CUST_000367,Female,36,82.0,86
CUST_000065,Male,59,37.0,2
CUST_000218,Female,26,36.0,21
CUST_000355,Male,43,86.0,92
CUST_000334,Male,38,85.0,78
CUST_000127,Female,44,33.0,17
CUST_000205,Male,59,34.0,6
CUST_000025,Male,55,34.0,9
CUST_000097,Male,61,36.0,32
CUST_000255,Female,67,94.0,84
CUST_000180,Male,53,45.0,15
CUST_000286,Male,31,83.0,87
CUST_000074,Male,67,38.0,17
CUST_000356,Female,23,93.0,81
CUST_000473,Female,63,91.0,94
CUST_000080,Female,63,38.0,31
CUST_000347,Male,30,95.0,88
CUST_000010,Female,44,47.0,20
CUST_000381,Male,37,96.0,87
CUST_000408,Female,51,82.0,99
CUST_000354,Male,59,94.0,88
CUST_000038,Male,30,44.0,4
CUST_000414,Male,24,87.0,78
CUST_000188,Male,56,50.0,15
CUST_000095,Female,57,39.0,5
CUST_000104,Male,52,35.0,15
CUST_000041,Female,69,41.0,5
CUST_000494,Male,27,94.0,73
CUST_000454,Female,33,82.0,93
CUST_000012,Female,61,37.0,16
CUST_000258,Male,35,94.0,80
CUST_000067,Female,62,45.0,11
CUST_000174,Male,37,40.0,6
CUST_000007,Female,67,44.0,29
CUST_000232,Male,20,43.0,1
CUST_000075,Female,36,42.0,13
CUST_000350,Female,67,88.0,88
CUST_000152,Male,42,36.0,31
CUST_000386,Female,39,85.0,97
CUST_000078,Female,52,42.0,17
CUST_000337,Male,28,98.0,68
CUST_000308,Male,42,97.0,80
CUST_000441,Male,35,90.0,82
CUST_000287,Female,68,87.0,67
CUST_000018,Male,23,38.0,5
CUST_000346,Female,35,95.0,82
CUST_000363,Female,35,91.0,70
CUST_000469,Female,64,97.0,79
CUST_000191,Female,57,38.0,10
CUST_000310,Female,48,94.0,70
CUST_000238,Female,22,42.0,24
CUST_000489,Male,55,91.0,68
CUST_000317,Male,32,88.0,84
CUST_000377,Female,54,91.0,89
CUST_000438,Female,32,90.0,79
CUST_000397,Female,60,104.0,79
CUST_000182,Male,38,40.0,15
CUST_000143,Male,34,27.0,20
CUST_000263,Male,48,81.0,72
CUST_000382,Male,65,86.0,74
CUST_000101,Female,38,26.0,8
CUST_000487,Male,48,83.0,69
CUST_000370,Male,65,90.0,88
CUST_000177,Male,45,41.0,24
CUST_000217,Male,56,41.0,9
CUST_000321,Male,24,96.0,82
CUST_000037,Female,37,44.0,23
CUST_000336,Male,41,93.0,80
CUST_000145,Female,20,40.0,5
CUST_000185,Male,29,34.0,23
CUST_000128,Female,50,34.0,23
CUST_000378,Male,34,90.0,84
CUST_000193,Male,30,43.0,6
CUST_000081,Male,56,31.0,34
CUST_000207,Male,54,29.0,12
CUST_000046,Female,25,39.0,25
CUST_000380,Male,44,94.0,72
CUST_000415,Female,59,90.0,84
CUST_000001,Male,65,40.0,2
CUST_000242,Male,35,38.0,14
CUST_000470,Female,43,94.0,79
CUST_000186,Female,35,44.0,26
CUST_000368,Male,48,87.0,77
CUST_000498,Male,28,84.0,93
CUST_000324,Female,66,93.0,78
CUST_000040,Female,29,38.0,29
CUST_000153,Female,51,37.0,11
CUST_000500,Female,64,96.0,95
CUST_000421,Male,30,97.0,93
CUST_000484,Male,41,90.0,86
CUST_000089,Male,33,50.0,20
CUST_000246,Female,66,39.0,10
CUST_000460,Male,34,92.0,84
CUST_000076,Male,39,44.0,15
CUST_000165,Male,26,49.0,8
CUST_000318,Male,22,82.0,78
CUST_000372,Male,69,87.0,75
CUST_000069,Male,40,41.0,31
CUST_000072,Female,37,41.0,3
CUST_000475,Male,68,101.0,71
CUST_000079,Female,55,39.0,19
CUST_000360,Female,38,95.0,71
CUST_000163,Female,35,33.0,25
CUST_000379,Female,23,87.0,95
CUST_000366,Female,55,97.0,97
CUST_000002,Male,37,40.0,21
CUST_000082,Male,25,43.0,5
CUST_000109,Male,39,42.0,10
CUST_000121,Male,21,42.0,15
CUST_000403,Female,20,92.0,100
CUST_000279,Male,63,93.0,97
CUST_000051,Male,35,34.0,34
CUST_000352,Male,43,93.0,94
CUST_000282,Female,19,91.0,75
CUST_000427,Female,68,80.0,91
CUST_000091,Female,28,42.0,27
CUST_000357,Female,68,93.0,97
CUST_000236,Male,45,37.0,6
CUST_000160,Male,36,36.0,18
CUST_000090,Female,52,44.0,16
CUST_000093,Male,22,42.0,27
CUST_000030,Female,29,41.0,15
CUST_000413,Male,52,94.0,82
CUST_000179,Female,59,42.0,11
CUST_000443,Female,66,90.0,73
CUST_000295,Female,47,89.0,99
CUST_000422,Male,19,95.0,68
CUST_000275,Male,59,87.0,78
CUST_000390,Female,67,83.0,91
CUST_000199,Male,43,41.0,4
CUST_000491,Male,65,94.0,87
CUST_000244,Female,50,39.0,3
CUST_000214,Female,52,43.0,9
CUST_000198,Female,41,41.0,11
CUST_000307,Female,43,96.0,100
CUST_000447,Female,63,85.0,84
CUST_000425,Female,24,91.0,98
CUST_000416,Male,44,90.0,95
CUST_000056,Male,23,31.0,5
CUST_000249,Male,53,24.0,22
CUST_000292,Male,65,85.0,82
CUST_000467,Male,48,85.0,100
CUST_000225,Female,53,39.0,22
CUST_000229,Female,43,48.0,1
CUST_000296,Male,27,95.0,81
CUST_000486,Male,33,89.0,87
CUST_000139,Female,59,33.0,25
CUST_000181,Female,54,43.0,9
CUST_000233,Male,58,26.0,17
CUST_000043,Male,35,43.0,27
CUST_000325,Female,57,91.0,73
CUST_000105,Female,44,43.0,6
CUST_000338,Female,30,89.0,73
CUST_000284,Male,69,80.0,83
CUST_000364,Male,18,94.0,97
CUST_000071,Male,44,44.0,22
CUST_000430,Female,43,82.0,93
CUST_000376,Female,61,91.0,71
CUST_000029,Female,57,44.0,16
CUST_000251,Male,66,85.0,91
CUST_000480,Female,30,82.0,68
CUST_000375,Male,55,93.0,74
CUST_000405,Male,64,92.0,69
CUST_000103,Female,18,34.0,17
CUST_000099,Female,41,41.0,9
CUST_000439,Male,51,86.0,75
CUST_000158,Female,38,44.0,12
CUST_000273,Male,56,83.0,83
CUST_000302,Female,49,90.0,90
CUST_000048,Female,61,40.0,21
CUST_000407,Male,56,88.0,76
CUST_000008,Female,41,36.0,18
CUST_000021,Female,65,45.0,21
CUST_000014,Female,62,37.0,6
CUST_000053,Male,31,47.0,23
CUST_000247,Female,59,34.0,13
CUST_000333,Female,20,86.0,84
CUST_000022,Male,68,54.0,30
CUST_000110,Male,25,38.0,25
CUST_000134,Female,26,42.0,24
CUST_000035,Female,21,41.0,6
CUST_000283,Male,20,94.0,88
CUST_000062,Male,38,39.0,25
CUST_000194,Male,30,39.0,13
CUST_000477,Male,62,83.0,91
CUST_000140,Female,33,33.0,17
CUST_000054,Female,50,40.0,33
CUST_000111,Female,22,34.0,34
CUST_000219,Female,35,38.0,19
CUST_000277,Female,23,89.0,100
CUST_000204,Male,37,42.0,27
CUST_000055,Female,30,38.0,6
CUST_000184,Male,19,27.0,30
CUST_000009,Female,59,31.0,27
CUST_000315,Male,24,92.0,92
CUST_000201,Male,39,30.0,20
CUST_000017,Male,46,44.0,12
CUST_000210,Female,35,37.0,17
CUST_000323,Male,36,90.0,85
CUST_000114,Female,18,43.0,32
CUST_000085,Female,23,45.0,31
CUST_000222,Female,37,40.0,7
CUST_000034,Female,34,37.0,11
CUST_000254,Male,69,89.0,68
CUST_000171,Female,18,39.0,29
CUST_000409,Female,21,85.0,95
CUST_000024,Male,30,33.0,23
CUST_000312,Male,41,89.0,98
CUST_000135,Male,62,37.0,3
CUST_000362,Male,64,92.0,73
CUST_000039,Male,19,35.0,26
CUST_000129,Female,22,44.0,15
CUST_000289,Male,32,95.0,72
CUST_000073,Female,65,32.0,10
CUST_000369,Female,44,83.0,84
CUST_000159,Male,53,42.0,14
CUST_000200,Female,63,34.0,9
CUST_000118,Male,59,44.0,5
CUST_000149,Female,64,38.0,11
CUST_000306,Female,52,80.0,73
CUST_000396,Female,62,88.0,82
CUST_000387,Male,22,85.0,98
CUST_000215,Female,41,33.0,33
CUST_000202,Male,40,38.0,19
CUST_000374,Male,22,98.0,96
CUST_000261,Female,42,86.0,98
CUST_000432,Male,64,93.0,66
CUST_000107,Female,68,40.0,10
CUST_000100,Male,68,37.0,10
CUST_000478,Female,42,86.0,74
CUST_000266,Female,23,88.0,72
CUST_000106,Female,51,38.0,5
CUST_000183,Female,46,38.0,5
CUST_000465,Female,45,89.0,98
CUST_000102,Female,59,45.0,5
CUST_000451,Male,23,96.0,95
CUST_000057,Female,67,42.0,34
CUST_000098,Female,32,37.0,2
CUST_000061,Female,43,43.0,13
CUST_000476,Female,48,95.0,77
CUST_000269,Male,26,95.0,76
CUST_000133,Male,38,38.0,31
CUST_000300,Male,35,87.0,93
CUST_000424,Male,69,100.0,77
CUST_000154,Male,60,36.0,11
CUST_000052,Male,41,50.0,6
CUST_000448,Female,18,81.0,71
CUST_000270,Female,32,92.0,92
CUST_000389,Male,59,88.0,74
CUST_000208,Male,57,39.0,2
CUST_000268,Male,26,94.0,75
CUST_000005,Male,42,37.0,5
CUST_000461,Male,41,84.0,84
CUST_000457,Female,56,86.0,79
CUST_000301,Female,49,85.0,99
CUST_000341,Male,35,85.0,93
CUST_000320,Female,29,86.0,78
CUST_000417,Female,28,93.0,74
CUST_000474,Female,29,96.0,75
CUST_000237,Male,32,35.0,16
CUST_000115,Female,39,41.0,15
CUST_000482,Male,59,89.0,90
CUST_000168,Male,33,43.0,29
CUST_000226,Male,60,39.0,12
CUST_000488,Female,24,80.0,94
CUST_000049,Male,64,44.0,8
CUST_000402,Female,66,81.0,93
CUST_000162,Male,23,37.0,3
CUST_000223,Male,61,41.0,2
CUST_000216,Male,68,46.0,6
CUST_000299,Male,68,90.0,89
CUST_000418,Female,41,87.0,86
CUST_000195,Female,50,43.0,31
CUST_000087,Female,65,42.0,24
CUST_000209,Female,57,35.0,25
CUST_000176,Male,37,41.0,1
